// Mod Langue.

fr                                    Français
en                                    English
ru                                    Руcский
de                                    Deutsch
it                                    Italiano
sp                                    Español
pt                                    Português
tr                                    Türkçe
el                                    Ελληνικά
he                                    עברית
ja                                    日本語
ar                                    العربية
zh                                    中文

// Server error defaut.     
     
SERV-ERROR-NOT-FIND-FILE     Error when loading execution file.
SERV-ERROR-DATABASE     Impossible to connect to the SQL base. Data error. 
SERV-ERROR-INVALID-PARAM-OR-METHODE     Incorrect Methods or Parameters. Access data error.
SERV-ERROR-CONNECT-MYSQL     Impossible to connect to the MySQL server. Access data error. 
SERV-ERROR-OFFLINE-MESSAGE     The app is currently unavailable due to maintenance. Sorry for the inconvenience. 
ERR-NOT-FIND-FILE     Error when loading execution file.
ERR-INVALID-PARAM-OR-METHODE     Incorrect Methods or Parameters. Access data error.
ERR-CONNECT-MYSQL     Impossible to connect to the MySQL server. Access data error. 
ERR-OFFLINE-MESSAGE     The app is currently unavailable due to maintenance. Sorry for the inconvenience. 
ERR-MODEL-DATABASE     Error when executing model SQL command.
ERR-BTC-ADR-INVALID     The user ID doesn't seem to be valid.
ERR-BTC-SIGN-INVALID     The digital signature doesn't seem to be valid. 
ERR-ACCOUNT-ALREADY-EXISTS     The user is already registered in the database. 
ERR-ECHEC-SAVE-USER     User registration failed.
ERR-NAME-OR-FIRSTNAME-INVALID     Your name or surname seems invalid.
ERR-POSTE-INVALID     The post seems invalid. 
ERR-USER-NOT-EXISTS     Your ID is not recognized. 
ERR-TIMESTAMP-INVALID     The timestamp seems invalid.
ERR-USER-NOT-ACCESS     You are not authorized to access this resource. 
ERR-POSTE-ALREADY-EXISTS     The post you are trying to add already exists in the database. 
ERR-ECHEC-SAVE-POSTE     The post registration failed.
ERR-POSTE-NOT-EXISTS     The post you want to delete doesn't exist.
ERR-ROLE-INVALID     The role transcribed into parameters seems incorrect. 
ERR-NOT-CHANGE-ADMIN     You cannot change administrator roles. 
ERR-VAR-VOTE-INVALID     The voting data seem incorrect. 
ERR-VAR-INVALID     The data transcribed into parameters seem incorrect. 
ERR-LOI-ALREADY-EXISTS     The law you are trying to add already exists in the database. 
ERR-ECHEC-SAVE-LOI     The law registration failed. 
ERR-LOI-NOT-EXISTS     The law is not recognized.
ERR-ECHEC-SAVE-AMD     The amendment registration failed.
ERR-ALREADY-CONNECTED     You are already connected. 
ERR-ALREADY-NOT-CONNECTED     You are not connected. 
ERR-AMD-NOT-EXISTS     The amendment is not recognized. 
ERR-SECU-NOT-EXISTS     Synchronization failed due to an invalid parameter. 
     
// Mod tmpl.     
     
FORM-MESSAGE-ADR-BTC-MIN     User ID is incorrect. 
FORM-MESSAGE-CODE-PIN-REQUIRED     Please enter your PIN code.
FORM-MESSAGE-INPUT-REQUIRED     Please fill in the fields below. 
FORM-MESSAGE-ADR-BTC-REQUIRED     Please enter the signatory's ID 
FORM-MESSAGE-EMAIL-INVALID     The email address is not valid. 
FORM-MESSAGE-EMAIL-REQUIRED     Enter your email address. 
FORM-MESSAGE-PIN-REQUIRED     Please enter your encrypted PIN code. 
FORM-MESSAGE-CODE-PIN-INVALID     Your PIN code must contain only numbers. 
FORM-MESSAGE-VALIDATION-FORM-FAILED     You must validate the form before continuing. 
FORM-MESSAGE-CODE-PIN-MIN     Your PIN code must contain a minimum of 4 numbers. 
     
// Apso.     
     
USER-LOGIN     Connection
USER-LABEL     My account
USER-SLID-1-LABEL     DIRECT DEMOCRACY in REAL TIME 
USER-SLID-1-DESC     Vote to elect, create laws. Votes are direct and the results are instant. 
USER-SLID-2-LABEL     UNIVERSAL SUFFRAGE
USER-SLID-2-DESC     Everyone is eligible and everyone votes. Everyone proposes laws and amendments. All votes are secret (member majority results)
USER-NOT-SIGN-VALIDE     The message's signature is not valid and/or does not correspond to the signatory's ID. 
USER-VERIF-MESS-TITLE     Verify a signature. 
